,pred,grid
56,0.00802960991859436,1kmN3033E5026_31
57,0.00802960991859436,1kmN3033E5026_32
58,0.0038956403732299805,1kmN3033E5026_33
59,0.0038956403732299805,1kmN3033E5026_34
60,0.025207310914993286,1kmN3033E5026_41
61,0.026463806629180908,1kmN3033E5026_42
62,0.021533817052841187,1kmN3033E5026_43
63,0.03241616487503052,1kmN3033E5026_44
64,0.0038956403732299805,1kmN3033E5027_11
65,0.00802960991859436,1kmN3033E5027_12
66,0.00802960991859436,1kmN3033E5027_13
67,0.0038956403732299805,1kmN3033E5027_14
68,-0.9512927234172821,1kmN3033E5027_21
69,0.00802960991859436,1kmN3033E5027_22
70,0.02842015027999878,1kmN3033E5027_23
71,0.07180336117744446,1kmN3033E5027_24
72,0.0365501344203949,1kmN3033E5027_31
73,0.00802960991859436,1kmN3033E5027_32
74,0.0038956403732299805,1kmN3033E5027_33
75,0.05810818076133728,1kmN3033E5027_34
76,0.0038956403732299805,1kmN3033E5027_41
77,0.00802960991859436,1kmN3033E5027_42
78,0.0500544011592865,1kmN3033E5027_43
79,0.0038956403732299805,1kmN3033E5027_44
80,0.030597776174545288,1kmN3033E5028_11
81,0.00802960991859436,1kmN3033E5028_12
82,0.048707276582717896,1kmN3033E5028_13
83,0.0038956403732299805,1kmN3033E5028_14
84,0.0038956403732299805,1kmN3033E5028_21
85,0.0038956403732299805,1kmN3033E5028_24
86,0.0638776421546936,1kmN3033E5028_31
87,0.0038956403732299805,1kmN3033E5028_33
88,0.08944153785705566,1kmN3033E5028_34
89,0.00802960991859436,1kmN3033E5028_41
90,0.19327077269554138,1kmN3033E5028_42
91,0.040470004081726074,1kmN3033E5028_43
92,0.0038956403732299805,1kmN3033E5028_44
93,0.03241616487503052,1kmN3033E5029_11
94,0.08672961592674255,1kmN3033E5029_12
95,0.05625906586647034,1kmN3033E5029_13
96,0.0038956403732299805,1kmN3033E5029_14
97,0.06909143924713135,1kmN3033E5029_21
98,0.00993889570236206,1kmN3033E5029_24
99,0.0038956403732299805,1kmN3033E5029_34
100,0.0500544011592865,1kmN3033E5029_41
101,0.0526270866394043,1kmN3033E5029_42
102,0.0500544011592865,1kmN3033E5029_43
103,0.0500544011592865,1kmN3033E5029_44
104,0.0038956403732299805,1kmN3033E5030_11
105,0.0038956403732299805,1kmN3033E5030_12
106,0.0038956403732299805,1kmN3033E5030_13
107,0.0038956403732299805,1kmN3033E5030_14
108,0.0038956403732299805,1kmN3033E5030_21
109,0.03241616487503052,1kmN3033E5030_34
110,0.0038956403732299805,1kmN3033E5030_41
111,0.0038956403732299805,1kmN3033E5030_42
112,0.00984799861907959,1kmN3033E5030_43
113,0.03241616487503052,1kmN3033E5030_44
114,0.044603973627090454,1kmN3033E5031_11
115,0.07252311706542969,1kmN3033E5031_12
116,0.07852131128311157,1kmN3033E5031_13
117,0.06983006000518799,1kmN3033E5031_14
118,0.0365501344203949,1kmN3033E5031_21
119,0.044603973627090454,1kmN3033E5031_22
120,0.0038956403732299805,1kmN3033E5031_23
121,0.03023853898048401,1kmN3033E5031_24
122,0.044573307037353516,1kmN3033E5031_31
123,0.0038956403732299805,1kmN3033E5031_32
124,0.0038956403732299805,1kmN3033E5031_33
125,0.0038956403732299805,1kmN3033E5031_34
126,0.044573307037353516,1kmN3033E5031_41
127,0.03241616487503052,1kmN3033E5031_42
128,0.0038956403732299805,1kmN3033E5031_43
129,0.060927778482437134,1kmN3033E5031_44
130,0.0500544011592865,1kmN3033E5032_11
131,0.0038956403732299805,1kmN3033E5032_12
132,0.07788386940956116,1kmN3033E5032_13
133,0.0038956403732299805,1kmN3033E5032_14
134,0.0365501344203949,1kmN3033E5032_21
135,0.00802960991859436,1kmN3033E5032_22
136,0.0038956403732299805,1kmN3033E5032_23
137,0.0038956403732299805,1kmN3033E5032_24
138,0.044603973627090454,1kmN3033E5032_31
139,0.025667786598205566,1kmN3033E5032_32
140,0.0365501344203949,1kmN3033E5032_33
141,0.05418837070465088,1kmN3033E5032_34
142,0.00802960991859436,1kmN3033E5032_41
143,0.0578618049621582,1kmN3033E5032_42
144,0.03241616487503052,1kmN3033E5032_43
145,0.0636182427406311,1kmN3033E5032_44
146,0.0038956403732299805,1kmN3033E5033_11
147,0.0038956403732299805,1kmN3033E5033_14
148,0.01398196816444397,1kmN3033E5033_31
149,0.0365501344203949,1kmN3033E5033_32
150,0.0526270866394043,1kmN3033E5033_33
151,0.00802960991859436,1kmN3033E5033_34
152,0.0038956403732299805,1kmN3033E5033_41
153,0.0038956403732299805,1kmN3033E5033_42
154,0.026463806629180908,1kmN3033E5033_43
155,0.0038956403732299805,1kmN3033E5033_44
156,0.0500544011592865,1kmN3033E5034_11
157,0.026463806629180908,1kmN3033E5034_12
158,0.021533817052841187,1kmN3033E5034_13
159,0.0038956403732299805,1kmN3033E5034_14
160,0.026463806629180908,1kmN3033E5034_21
161,0.0038956403732299805,1kmN3033E5034_23
162,0.0038956403732299805,1kmN3033E5034_24
163,0.0038956403732299805,1kmN3033E5035_11
164,0.0038956403732299805,1kmN3033E5035_12
165,0.0038956403732299805,1kmN3033E5035_13
166,0.0038956403732299805,1kmN3033E5035_14
167,0.0038956403732299805,1kmN3033E5035_31
168,0.006073266267776489,1kmN3033E5035_34
169,0.0038956403732299805,1kmN3033E5035_41
170,0.0038956403732299805,1kmN3033E5035_42
171,0.0038956403732299805,1kmN3033E5035_43
172,0.026463806629180908,1kmN3033E5035_44
173,0.0038956403732299805,1kmN3033E5036_41
174,0.0242861807346344,1kmN3033E5036_42
175,0.0038956403732299805,1kmN3033E5036_43
176,0.0038956403732299805,1kmN3033E5036_44
177,0.0038956403732299805,1kmN3034E5020_11
178,0.0038956403732299805,1kmN3034E5021_11
179,0.0038956403732299805,1kmN3034E5021_12
180,0.0038956403732299805,1kmN3034E5021_13
