,Unnamed: 0,grid,pred,grid_x,grid_y,digits
928,1388,1kmN3038E5034_14,1.8518013999999998,19.992899602780614,50.02390434456919,3
929,1389,1kmN3038E5034_21,1.1676273000000001,19.99542435218246,50.01915115991382,2
930,1390,1kmN3038E5034_22,0.4785057,19.99495601258797,50.01692730308328,1
931,1391,1kmN3038E5034_23,0.54720974,19.991494891715952,50.017232737722274,1
932,1392,1kmN3038E5034_24,1.2010357,19.99196307427354,50.019456610903156,2
933,1393,1kmN3038E5034_31,1.4049436000000002,19.988501755960016,50.019761956825704,2
934,1394,1kmN3038E5034_32,0.9738651,19.988033730446453,50.017538067299796,2
935,1395,1kmN3038E5034_33,2.0008821,19.984572528792448,50.01784329181389,3
936,1396,1kmN3038E5034_34,1.9857653000000002,19.98504039725486,50.020067197679396,3
937,1397,1kmN3038E5034_41,1.2883278,19.989437970326524,50.024209723187525,2
938,1398,1kmN3038E5034_42,0.9738651,19.988969835917047,50.02198584212147,2
939,1399,1kmN3038E5034_43,0.9738651,19.98550832014318,50.02229109931673,2
940,1400,1kmN3038E5034_44,1.0995569,19.985976297466546,50.024514996726246,2
941,1401,1kmN3038E5035_11,0.30752933,20.010207158509942,50.022375875353,1
942,1402,1kmN3038E5035_12,1.1676273000000001,20.00973808173318,50.02015209246084,2
943,1403,1kmN3038E5035_13,1.657521,20.006276808545927,50.02045798007166,3
944,1404,1kmN3038E5035_14,0.6801328000000001,20.0067457282793,50.02268177933959,1
945,1405,1kmN3038E5035_21,2.1019716,20.009269059513908,50.01792830532722,3
946,1406,1kmN3038E5035_22,2.1019716,20.008800091843085,50.015704513951796,3
947,1407,1kmN3038E5035_23,2.1019716,20.00533913269008,50.01601036881701,3
948,1408,1kmN3038E5035_24,1.9857653000000002,20.005807943352522,50.01823417656429,3
949,1409,1kmN3038E5035_31,1.6554569,20.002346786734872,50.01853994274239,3
950,1410,1kmN3038E5035_32,1.8953581999999998,20.001878133087963,50.016316118628644,3
951,1411,1kmN3038E5035_33,1.6842907999999999,19.998417093049625,50.01662176338474,3
952,1412,1kmN3038E5035_34,1.4385261999999999,19.998885589673872,50.01884560385954,2
953,1413,1kmN3038E5035_41,0.9489943000000001,20.003284257578176,50.02298757825646,2
954,1415,1kmN3038E5035_43,1.2634571,19.999354140794143,50.0210694400984,2
955,1416,1kmN3038E5035_44,1.0106554,19.99982274641938,50.02329327210167,2
956,1417,1kmN3038E5036_11,0.46715912,20.024052474468654,50.021151208749316,1
957,1418,1kmN3038E5036_12,0.47568065,20.02358276958982,50.01892749141373,1
958,1419,1kmN3038E5036_13,1.0280812,20.020121658385342,50.01923379926211,2
959,1420,1kmN3038E5036_14,0.96407676,20.020591206249378,50.0214575329949,2
960,1421,1kmN3038E5036_21,1.6537058,20.02311311933851,50.016703769828965,3
961,1422,1kmN3038E5036_22,1.0586662,20.02264352370559,50.01448004399457,2
962,1423,1kmN3038E5036_23,1.0995569,20.019182726478203,50.014786319054394,2
963,1424,1kmN3038E5036_24,1.6269361,20.01965216513133,50.01701006128207,3
964,1425,1kmN3038E5036_31,1.6554569,20.016191170416228,50.01731624768414,3
965,1426,1kmN3038E5036_32,1.4156547,20.01572188875006,50.0150924890685,2
966,1427,1kmN3038E5036_33,1.9857653000000002,20.01226101053407,50.01539855403496,3
967,1428,1kmN3038E5036_34,1.4997764,20.01273013520613,50.01762232903318,2
968,1429,1kmN3038E5036_41,0.9272865,20.01712989750787,50.02176375217868,2
969,1430,1kmN3038E5036_42,0.49257305,20.016660506665797,50.019540002054065,1
970,1431,1kmN3038E5036_43,1.8525363000000001,20.01319931444412,50.019846099787614,3
971,1432,1kmN3038E5036_44,0.9272865,20.01366854825711,50.02206986629872,2
972,1433,1kmN3038E5037_11,0.47568065,20.037897141865283,50.01992486118875,1
973,1434,1kmN3038E5037_12,0.47568065,20.037426808998802,50.01770120949568,1
974,1435,1kmN3038E5037_13,0.9205973,20.03396585998373,50.018007937549925,2
975,1436,1kmN3038E5037_14,0.29346198,20.034436035863983,50.02023160566164,1
976,1437,1kmN3038E5037_21,0.44108272,20.036956530829734,50.015477553545644,1
977,1438,1kmN3038E5037_22,0.6170048,20.036486307349072,50.01325389333815,1
978,1439,1kmN3038E5037_23,0.54720974,20.033025672253878,50.01356058856086,1
979,1440,1kmN3038E5037_24,0.44108272,20.033495738783355,50.01578426518314,1
980,1441,1kmN3038E5037_31,0.96407676,20.030034906177406,50.01609087177752,2
981,1442,1kmN3038E5037_32,0.36216596,20.0295649966063,50.013867178745855,1
982,1443,1kmN3038E5037_33,0.9205973,20.026104280419208,50.01417366389105,2
983,1444,1kmN3038E5037_34,0.9272865,20.02657403302484,50.01639737332677,2
984,1445,1kmN3038E5037_41,0.9205973,20.03097488928887,50.02053824508071,2
985,1446,1kmN3038E5037_42,0.46477702,20.030504870401906,50.018314560555666,1
986,1447,1kmN3038E5037_43,0.9205973,20.02704384026634,50.01862107851093,2
987,1448,1kmN3038E5037_44,0.29346198,20.027513702152746,50.020844779443905,1
988,1449,1kmN3038E5038_11,1.4129421999999998,20.051741159873398,50.01869683279821,2
989,1450,1kmN3038E5038_12,0.54720974,20.051270199133814,50.0164732468336,1
990,1451,1kmN3038E5038_13,0.6135616999999999,20.047809412514667,50.01678039506194,1
991,1452,1kmN3038E5038_14,1.4917777,20.048280216296728,50.019003997466704,2
992,1453,1kmN3038E5038_21,0.38824233,20.050799293161603,50.0142496566041,1
993,1454,1kmN3038E5038_22,0.47568065,20.05032844194763,50.012026062109406,1
994,1455,1kmN3038E5038_23,0.7871505,20.0468679691911,50.01233317746329,2
995,1456,1kmN3038E5038_24,0.9205973,20.0473386634825,50.01455678839426,2
996,1457,1kmN3038E5038_31,0.9205973,20.04387799319221,50.01486381514922,2
997,1458,1kmN3038E5038_32,0.9489943000000001,20.043407455830568,50.01264018778741,2
998,1460,1kmN3038E5038_34,0.30752933,20.040417282303665,50.01517073686699,1
