"eurogrid_0250";"st_y";"st_x"
"1kmN3047E5035_21";50.09798197284764;20.026188295381573
"1kmN3047E5035_11";50.10242923799971;20.02713033427908
"1kmN3047E5036_43";50.099899023914396;20.03012618444659
"1kmN3047E5036_34";50.097675405674195;20.029655034789872
"1kmN3047E5035_12";50.100205607537355;20.02665928738798
"1kmN3047E5036_33";50.09545178320428;20.029183940026304
"1kmN3047E5035_24";50.09828843477041;20.022721515246044
"1kmN3047E5034_24";50.09951322991522;20.008853987691776
"1kmN3047E5034_12";50.101430889448764;20.012791291939482
"1kmN3047E5035_43";50.10112472686194;20.01625835185775
"1kmN3047E5034_14";50.1039606594104;20.009794449782486
"1kmN3047E5034_13";50.10173694677158;20.009324191338813
"1kmN3047E5035_41";50.10304212236222;20.02019610261432
"1kmN3047E5034_11";50.103654585663094;20.01326170808701
"1kmN3047E5035_44";50.10334840664636;20.01672892570196
"1kmN3047E5036_42";50.09959233503735;20.033593040757776
"1kmN3047E5036_14";50.10150912200005;20.037531376181676
"1kmN3047E5036_11";50.10120220615326;20.040998308605328
"1kmN3048E5036_42";50.108486699870035;20.035478819246645
"1kmN3048E5036_32";50.10403952591462;20.034535820126013
"1kmN3048E5036_13";50.1081798398802;20.038946265516905
"1kmN3048E5036_11";50.110096422306086;20.042885568415834
"1kmN3048E5036_14";50.11040340404306;20.03941800523111
"1kmN3048E5036_23";50.10373269885906;20.03800295100137
"1kmN3048E5036_21";50.10564932269769;20.041941828545752
"1kmN3048E5036_22";50.103425766542635;20.041470041088917
"1kmN3048E5036_24";50.105956271485645;20.038474580776732
"1kmN3049E5036_23";50.11262696397467;20.03988979992839
"1kmN3048E5037_33";50.10311872896738;20.044937090375647
"1kmN3048E5037_34";50.10534226864546;20.04540903550674
"1kmN3047E5036_41";50.10181593259139;20.03406440297745
"1kmN3047E5036_13";50.09928554090825;20.037059856308545
"1kmN3048E5036_31";50.106263115007366;20.03500729221272
"1kmN3048E5036_33";50.104346247707326;20.03106864847586
"1kmN3047E5036_44";50.10212263792529;20.030597389005536
"1kmN3047E5037_34";50.09644808451358;20.043521584891092
"1kmN3048E5037_43";50.10756580408756;20.045881035637873
"1kmN3048E5036_12";50.107872874618714;20.042413670985006
"1kmN3047E5037_33";50.094224527887775;20.043049859668706
"1kmN3047E5036_22";50.09453149957481;20.039583440903066
"1kmN3046E5034_11";50.09475977548735;20.011380372345908
"1kmN3048E5047_42";50.09488529984299;20.18800768424307
"1kmN3048E5047_43";50.09519668470479;20.184542004191343
"1kmN3048E5047_34";50.09297381283665;20.18406370232511
"1kmN3048E5047_32";50.09043958518902;20.187050821442202
"1kmN3048E5047_31";50.0926624446745;20.187529224982626
"1kmN3048E5047_24";50.092350971332465;20.19099470628734
"1kmN3048E5047_23";50.09012812855001;20.19051614537746
"1kmN3048E5047_13";50.094573809795904;20.191473322934776
"1kmN3047E5047_41";50.08821672138619;20.18657247361257
"1kmN3047E5047_14";50.087905281448236;20.190037640195893
"1kmN3050E5048_41";50.11364360884598;20.20618430168797
"1kmN3050E5048_43";50.111732798869774;20.20223793630924
"1kmN3051E5048_33";50.11617832684532;20.203196859715376
"1kmN3050E5048_44";50.11395556501717;20.202717370079608
"1kmN3050E5047_34";50.1107566669934;20.187891677702954
"1kmN3050E5047_33";50.10853382531976;20.18741298565985
"1kmN3050E5046_22";50.108845205201746;20.183946319483194
"1kmN3050E5046_21";50.111068063583645;20.184424854001865
"1kmN3050E5046_12";50.1132909176555;20.184903444279662
"1kmN3050E5046_11";50.115513767417696;20.18538209032581
"1kmN3051E5047_32";50.11711361417582;20.19279534348835
"1kmN3051E5047_23";50.116801956968715;20.196262557014485
"1kmN3051E5047_21";50.118712968771554;20.200209117039588
"1kmN3051E5047_22";50.11649019452454;20.1997297290945
"1kmN3050E5047_44";50.11520233740507;20.18884922912828
"1kmN3050E5047_42";50.11266798582424;20.19183736536007
"1kmN3050E5047_41";50.11489080215664;20.192316326517858
"1kmN3050E5047_24";50.11013355814002;20.194825200897323
"1kmN3050E5047_21";50.10982184588087;20.198291900364737
"1kmN3050E5047_23";50.10791074989897;20.19434619382744
"1kmN3050E5047_14";50.11457916167451;20.195783382481597
"1kmN3050E5047_12";50.11204463307957;20.19877112076633
"1kmN3050E5047_11";50.114267415960676;20.199250397006516
"1kmN3050E5047_13";50.112356362065064;20.195304263778986
"1kmN3050E5047_32";50.10822234021814;20.19087961044559
"1kmN3050E5047_31";50.11044516517822;20.19135846000576
"1kmN3051E5047_33";50.11742516614378;20.189328088529066
"1kmN3051E5047_31";50.11933642188212;20.19327441628084
"1kmN3051E5047_24";50.11902474794806;20.196741787386937
"1kmN3050E5047_43";50.11297950435506;20.18837042552265
"1kmN3047E5047_44";50.08852805615493;20.18310726569107
"1kmN3047E5047_43";50.086305171340626;20.182629130904715
"1kmN3048E5047_33";50.09075093665349;20.183585456161456
"1kmN3049E5047_44";50.106310979333706;20.186934349384096
"1kmN3049E5047_43";50.10408812903493;20.18645576886644
"1kmN3049E5047_34";50.101865274423034;20.185977244097565
