"","eurogrid_0250_1","populacjaKobiet","procentDzieci","procentMieszkalnych","localConcentration","percentOfMean","WzrostZameldowania"
"133","1kmN3033E5036_42",0.51063829787234,0.179487179487179,0.705882352941177,0.0000358620419846706,0.843954176351781,0.216365095393186
"134","1kmN3033E5036_43",0.466666666666667,0.214285714285714,0.875,0.0000228212994447904,1.04033700388275,0.295859461880856
"135","1kmN3034E5022_13",0.454545454545455,0.1,0.75,0.0000195611138098203,1.00302836650213,0.363753372561296
"136","1kmN3034E5022_24",0.714285714285714,0,0.5,0.00000652037126994011,1.00097844137132,0.250244610342831
"137","1kmN3034E5022_32",0.611111111111111,0.3125,0.75,0.00000978055690491017,0.816690172112095,0.23361830194212
"138","1kmN3034E5022_34",0.5,0,1,0.00000326018563497006,0.965514736608425,0.241378684152106
"139","1kmN3034E5023_13",0.428571428571429,0.4,0.666666666666667,0.00000652037126994011,1.09670994497985,NA
"140","1kmN3034E5023_24",0.625,0.4,0.5,0.00000652037126994011,0.971664512000836,0.213470369086113
"141","1kmN3034E5023_31",0.446808510638298,0.295454545454545,0.888888888888889,0.0000489027845245508,1.06268118780851,0.433693739792655
"142","1kmN3034E5023_34",0.473684210526316,0.129032258064516,0.846153846153846,0.0000358620419846706,1.03849207126503,0.246799694219369
"143","1kmN3034E5024_12",0.5,0,1,0.00000326018563497006,1.10798453319927,0.276996133299816
"144","1kmN3034E5024_13",0.533333333333333,0.0666666666666667,1,0.0000163009281748503,1.06145123273003,0.249228177898114
"145","1kmN3034E5024_21",0.534883720930233,0.225,0.733333333333333,0.000058683341429461,1.04525682419668,0.285723823440149
"146","1kmN3034E5025_22",0.461538461538462,0.0769230769230769,1,0.00000978055690491017,0.953830163362846,0.258468217759096
"147","1kmN3034E5025_23",0.432432432432432,0.032258064516129,0.888888888888889,0.0000228212994447904,0.943990522734989,0.210334092168726
"148","1kmN3034E5025_24",0.535714285714286,0.148148148148148,0.727272727272727,0.0000326018563497006,0.893767357030305,0.232533750300295
"149","1kmN3034E5025_31",0.571428571428571,0.0862068965517241,0.954545454545455,0.0000619435270644311,0.952190223258203,0.224155093025848
"150","1kmN3034E5025_32",0.466666666666667,0.169811320754717,0.9375,0.0000521629701595209,1.00999811194686,0.25670130756581
"151","1kmN3034E5025_33",0.524822695035461,0.140625,0.9,0.000120626868493892,0.926156174096999,0.244269066131064
"152","1kmN3034E5025_34",0.528735632183908,0.155844155844156,0.88,0.0000749842696043113,0.934560867133293,0.233640216783323
"153","1kmN3034E5026_11",0.454545454545455,0,0.333333333333333,0.00000652037126994011,1.01881279000932,0.177164465426369
"154","1kmN3034E5026_12",0.333333333333333,0,0.5,0.00000326018563497006,1.12766381445498,0.281915953613745
"155","1kmN3034E5026_14",0.5,0,0.666666666666667,0.00000652037126994011,0.907501855406688,0.260258312007803
"156","1kmN3034E5026_23",0.4,0,0.333333333333333,0.00000326018563497006,0.973304452105478,0.24332611302637
"157","1kmN3034E5026_32",0.6,0.28125,0.888888888888889,0.0000260814850797604,0.989293868125745,0.294336524907171
"158","1kmN3034E5026_33",0.544117647058823,0.0967741935483871,0.941176470588235,0.0000554231557944909,0.92656615912316,0.23910478056821
"159","1kmN3034E5027_44",0.583333333333333,0.181818181818182,0.333333333333333,0.00000652037126994011,0.991138800743468,0.319705218298812
"160","1kmN3034E5028_22",0.511111111111111,0.238095238095238,0.454545454545455,0.0000684638983343712,1.05181658461525,NA
"161","1kmN3034E5028_41",0.5,0.3125,1,0.0000260814850797604,0.78409636253232,Inf
"162","1kmN3034E5029_11",0.444444444444444,0.0769230769230769,0.857142857142857,0.0000130407425398802,0.967769654252309,0.241942413563077
"163","1kmN3034E5029_12",0.539325842696629,0.148148148148148,0.95,0.0000619435270644311,0.902172050066599,0.219987228320472
"164","1kmN3034E5029_13",0.555555555555556,0.0833333333333333,0.375,0.00000978055690491017,0.93292092702865,0.233230231757163
"165","1kmN3034E5029_14",0.516129032258065,0.099290780141844,0.842105263157895,0.000110846311588982,0.906271900328206,0.223362802974786
"166","1kmN3034E5029_21",0.615384615384615,0,0.8,0.0000130407425398802,1.0471017568144,0.327366505320473
"167","1kmN3034E5029_22",0.523316062176166,0.164772727272727,0.948717948717949,0.000146708353573652,0.905656922788965,0.245047493662883
